<startdataset>
smiles	HHLB	fit_test	train_validate	chemid	model_prediction	model_descriptors|intercept,[cX3H1]:[cX3H0;!$(*-a);!$(*~A)]:[cX3H0;!$(*-a);!$(*~A)](:[cX3H1]):[nX3H1+0],[OX1H0+0]=[cX3H0;$(*=A)]:[nX3H1+0],[CX4H2]-[CX4H1]-[CX4H2]-[CX4H2]-[NX3H0+0]-[CX4H2],[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H3],[CX4H2]-[CX4H1]-[CX4H0]-[OX2H1+0],[CX4H2]-[CX4H1](-[NX3H0+0])-[CX3H0]=[OX1H0+0],[CX4H1]-[CX4H2]-[NX3H0+0]-[CX4H2]-[CX4H2],[cX3H0;!$(*-a);!$(*~A)]:[cX3H0;!$(*-a);!$(*~A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1],[NX3H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1],[ClX1H0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)],[CX4H2]-[CX4H1](-[CX4H2]-[CX4H2])-[CX3H0]=[OX1H0+0],[cX3H0;$(*-A)]-[CX4H1]-[CX3H0]=[OX1H0+0],[CX4H2]-[cX3H0;$(*-A)]:[nX2H0+0;!$(*-a);!$(*~A)],[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[NX3H0+0]-[cX3H0;$(*-A)]:[nX2H0+0;!$(*-a);!$(*~A)],[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[nX2H0+0;!$(*-a);!$(*~A)],[CX4H2]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX4H2]-[CX4H1]-[CX3H0]=[OX1H0+0],[CX4H2]-[CX4H0]-[OX2H1+0],[CX4H1]-[OX2H0+0]-[CX4H2],[cX3H0;$(*-A)]-[NX3H0+0]-[CX3H0]=[OX1H0+0],[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[OX2H0+0]):[cX3H1]:[cX3H1],[CX4H3]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[OX2H1+0]):[cX3H1]:[cX3H1],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]-[CX3H0](=[NX2H0+0])-[cX3H0;$(*-A)]:[cX3H0;$(*-A)],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)](-[NX3H0+0]):[cX3H0;$(*-A)],[cX3H0;$(*-A)]:[cX3H0;$(*-A)](:[cX3H1])-[SX4H0](=[OX1H0+0])=[OX1H0+0],[cX3H0;$(*-A)]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]-[CX3H0]=[CX3H1],[CX4H2]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-a)](:[cX3H1])-[cX3H0;$(*-a)](:[cX3H0;$(*-A)]):[cX3H1],[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H0;$(*-A)]-[ClX1H0],[cX3H0;$(*-a)]-[cX3H0;$(*-a)](:[cX3H1]):[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1]:[cX3H0;$(*-A)]-[ClX1H0],[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H0;$(*-A)]-[NX3H0+0](=[OX1H0+0])=[OX1H0+0],[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[CX4H1]-[NX3H1+0]-[CX3H0]=[OX1H0+0],[CX4H2]-[CX4H2]-[CX4H2]-[CX4H2]-[NX3H0+0]-[CX4H2]-[CX4H2],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[NX3H1+0]-[CX3H0](=[OX1H0+0])-[NX3H1+0],[CX4H2]-[CX4H2]-[ClX1H0],[OX2H1+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX4H2]-[CX4H0]-[CX4H2],[CX4H2]-[CX4H1]-[CX4H1]-[CX3H1]=[CX3H1],[cX3H0;$(*-A)]1:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:1,[CX4H0]-[CX4H0]-[FX1H0],[CX4H2]-[CX4H2]-[CX4H1]1-[CX4H0]-[CX4H2]-[CX4H2]-[CX4H1](-[CX4H1]-1-[CX4H2])-[CX4H0],[CX2H0]#[NX1H0+0],[A!#1x0+0]=[A!#1x0+0],[OX1H0+0]=[NX3H0+0]=[OX1H0+0],[NX3H1+0],[#16],[CX3H0]=[OX1H0+0],[A!#1x0+0]=[A!#1x2+0],[CX4H3],[cX3H0;!$(*-a);!$(*~A)],[CX3H0]=[CX3H1],[cX3H0;$(*-A)],[FX1H0],[BrX1H0],[ClX1H0]	CSS	leverage	value_similarity
FC(C(C(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	4.805092878	1	train	355464	4.02218139768	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0	0.443427044138	0.283395262635	0.09652
Clc1ccc(c(c1)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl	5.403118326	1	train	35694065	5.29214072901	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0	0.51365797055	0.126294348776	0.813756
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl	4.552880646	1	train	38380073	4.42367647956	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0	0.616593896751	0.228101475537	0.783874
Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(c(c3Cl)Cl)Cl	4.965843436	1	train	39227286	4.64376783007	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0	0.132377756366	0.154445679439	0.494163
Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl	5.459583805	1	train	39635319	4.840460884	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0	0.414195096565	0.0377055921666	0.188754
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl	4.88023958	1	train	40186718	5.49323400599	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0	0.427200371671	0.0492481203809	0.193168
Clc1ccc(cc1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl	4.938231527	1	train	41411636	4.18768776201	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0	0.422561424702	0.0277020677142	0.111103
Clc1cc(ccc1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl	5.139876891	1	train	41411647	4.840460884	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0	0.373917316812	0.0377055921666	0.525037
Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl	3.783329567	1	train	41464511	3.99493484853	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0	0.577810892635	0.191061291534	0.653291
Clc1cc(Cl)c(c(c1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl)Cl	5.005178317	1	train	42740501	5.49323400599	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0	0.408777346496	0.0492481203809	0.300181
