<startdataset>
smiles	HHLT	fit_test	train_validate	chemid	model_prediction	model_descriptors|intercept,[OX2H1+0]-[CX3H0](=[OX1H0+0])-[CX4H2]-[CX4H2]-[cX3H0;$(*-A)]1:[nX2H0+0;!$(*-a);!$(*~A)]:[cX3H0;$(*-a)]:[cX3H0;$(*-a)](:[oX2H0+0;!$(*-a);!$(*~A)]:1)-[cX3H0;$(*-a)]1:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H1]:1,[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1]:[cX3H1])-[CX4H1]-[CX3H0](=[OX1H0+0])-[NX3H1+0]-[CX4H1]1-[CX3H0](=[OX1H0+0])-[NX3H0+0]2-[CX4H1]-1-[SX2H0]-[CX4H2]-[CX3H0]=[CX3H0]-2-[CX3H0](=[OX1H0+0])-[OX2H1+0],[OX1H0+0]=[CX3H0]-[cX3H0;$(*-A)]1:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1]:[cX3H1]:1)-[ClX1H0],[OX2H0+0]-[NX3H0+0](=[OX1H0+0])=[OX1H0+0],[NX3H0+0]-[CX4H2]-[CX4H2]-[ClX1H0],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H0;$(*-a)]:[cX3H1],[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](-[FX1H0]):[cX3H1]:[cX3H1],[cX3H1]:[cX3H1]:[cX3H0;!$(*-a);!$(*~A)]:[cX3H0;!$(*-a);!$(*~A)](:[cX3H1]):[nX3H1+0],[cX3H0;$(*-A)]-[CX4H1]-[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX4H1]-[CX4H2]-[CX4H2]-[NX3H0+0],[CX4H2]-[CX4H1](-[OX2H0+0])-[nX3H0+0;$(*-A)],[CX4H0]-[CX4H1]-[NX3H0+0]-[CX3H0]=[OX1H0+0],[cX3H1]:[cX3H0;!$(*-a);!$(*~A)]:[nX2H0+0;!$(*-a);!$(*~A)],[CX4H2]-[CX4H2]-[NX3H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[CX4H2]-[CX4H2]-[CX3H0]=[OX1H0+0],[cX3H1]:[cX3H0;$(*-A)](:[cX3H1])-[SX4H0](=[OX1H0+0])=[OX1H0+0],[OX2H0+0]-[CX4H1]-[OX2H0+0],[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1],[CX4H2]-[CX4H1](-[CX4H2])-[NX3H0+0],[NX3H1+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[CX4H2]-[CX4H1](-[CX4H3])-[CX4H3],[NX3H0+0]-[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[cX3H0;$(*-A)]-[CX3H0](=[CX3H0])-[cX3H0;$(*-A)]:[cX3H1],[cX3H1]:[cX3H0;$(*-A)]:[cX3H1]:[nX2H0+0;!$(*-a);!$(*~A)],[NX3H1+0]-[CX3H0](=[OX1H0+0])-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H3]-[CX4H0](-[CX4H3])-[CX4H3],[CX4H2]-[CX4H2]-[NX3H0+0]-[CX4H1]-[cX3H0;$(*-A)]:[cX3H1],[CX4H2]-[CX4H1]-[cX3H0;$(*-A)](:[cX3H1]):[cX3H1]:[cX3H1]:[cX3H1],[CX4H1]-[CX4H1]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1],[BrX1H0]-[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H1]-[CX4H1]-[CX4H2]-[CX4H1]-[CX3H0]=[OX1H0+0],[ClX1H0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[NX3H0+0]):[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[CX3H0]=[OX1H0+0]):[cX3H1]:[cX3H1],[CX4H2]-[CX4H2]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-a)](:[cX3H1])-[cX3H0;$(*-a)]:[cX3H1],[ClX1H0]-[cX3H0;$(*-A)]:[cX3H0;$(*-A)](-[ClX1H0]):[cX3H0;$(*-A)](-[ClX1H0]):[cX3H1],[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-a)]-[cX3H0;$(*-a)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1],[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)],[CX4H2]-[CX4H2]-[CX3H0](=[OX1H0+0])-[NX3H1+0],[CX4H2]-[OX2H0+0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[cX3H1]:[cX3H0;$(*-A)]-[NX3H0+0](=[OX1H0+0])=[OX1H0+0],[CX4H1]-[OX2H0+0]-[CX3H0]=[OX1H0+0],[CX4H2]-[CX4H1]-[CX3H0](=[OX1H0+0])-[NX3H0+0]-[CX4H2],[OX2H1+0]-[CX4H1]-[CX3H1]=[CX3H1],[CX4H2]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)](:[cX3H1])-[OX2H0+0]-[CX4H2],[CX4H0]-[cX3H0;$(*-A)]1:[cX3H1]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H1]:[cX3H1]:1,[CX4H3]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)],[CX4H0]-[cX3H0;$(*-A)]:[cX3H1]:[cX3H0;$(*-A)]:[cX3H0;$(*-A)],[CX4H0]-[CX4H0]-[CX4H1]-[CX4H2],[CX4H1]-[CX4H1]-[CX4H1]-[CX4H0](-[CX4H2])-[CX4H3],[CX4H0]-[CX4H2]-[CX4H2]-[CX4H1](-[CX4H0])-[CX4H1]-[CX4H2],[OX1H0+0]=[CX3H0]-[CX4H0]-[CX3H0](=[OX1H0+0])-[NX3H1+0],[cX3H0;!$(*-a);!$(*~A)],[ax3+0;$(*-a)],[CX4H1],[OX2H1+0],[CX4H0],[cX3H0;$(*-A)],[FX1H0],[ClX1H0]	CSS	leverage	value_similarity
Clc1cc(Cl)c(c(c1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl)Cl	4.78333	1	train	33091177	5.55987368491	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0	0.340049148472	0.11104941677	0.089602
OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	4.67717	1	train	335671	4.93560766094	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,15.0,0.0	0.296164972046	0.385070867357	0.572116
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl	5.11072	1	train	35065271	5.19889283383	1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0	0.405130148914	0.208717328533	0.84716
Clc1cc(Cl)c(cc1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl	5.65471	1	train	35065293	5.21506607433	1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0	0.417083030241	0.0603106560897	0.336527
Clc1c(Cl)ccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl	5.35602	1	train	35065306	4.73519578041	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0	0.472211367503	0.0890575800718	0.174748
FC(C(C(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	4.80509	1	train	355464	4.27532186464	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,13.0,0.0	0.324527494757	0.288423274313	0.24684
Clc1ccc(c(c1)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl	5.40312	1	train	35694065	4.6390949359	1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0	0.595594404994	0.0980060381509	0.094892
Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl	3.4823	1	train	37680732	3.7666660895	1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0	0.457930522414	0.0480961527213	0.534194
Clc1ccc(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl	3.4823	1	train	38380051	3.78283933	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0	0.555290512002	0.0329641866996	0.5112
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl	4.55288	1	train	38380073	4.23915224599	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0	0.586942852773	0.087173827839	0.492839
